channel,leaning
bbc,L
bloomberg,R
brexitcentral,R
business insider,C
c-span,L
cbs,R
cnbc,C
cnn,L
daily kos,L
euractiv,R
financial times,R
forbes,C
fusion,R
judicial watch,R
kqed,C
mashable,L
msnbc,L
nbc,L
ndtv,R
new york magazine,L
newsy,R
pbs,L
pbs newshour,C
politico,L
prageru,L
propublica,C
rappler,R
raw story,L
recode,L
sacramento bee,L
the atlantic,L
the economist,R
the guardian,L
the hill,R
the new yorker,L
the young turks,L
thegrio,R
time,L
univision,L
uproxx,R
usa today,C
vanity fair,L
vice,L
vox,L
wall street journal,R
washington post,L
1 news,R
a&e,C
aaron,R
aarp,C
abc news,R
abc10,C
abc11,C
abc7,C
abeona,R
abp news,R
abs-cbn news,L
africanews,L
aftv,C
aj+,C
akte,R
amanda,R
american enterprise institute,R
ard,C
arte,R
ary news,R
associated press,L
atv,C
atwa,R
ava,C
bbc news,R
bec,C
bfi,C
big think,L
boston herald,C
breaking defense,C
callux,L
carter,R
catch,L
cbc news,R
cbr,R
cbs news,R
cbsn,R
cgtn,R
cmx,R
cna,R
consumer reports,L
cpac,C
crooked media,R
ctv news,R
cut,R
dan,R
davi,R
dbate,L
deadline hollywood,R
defense news,L
democracy now!,L
dvf,C
dw news,C
e4,C
eaa,C
ebc,R
ed,C
edmonton journal,R
efn,R
el pais,R
epic,L
esnews,R
espn,C
ewtn,R
fbe,C
fei,R
financial post,C
fortune magazine,C
fox news,R
france 24,R
gaz,C
gbr,R
gc,C
geo news,L
global news,R
gnn,R
gpb,C
gq,C
grian,L
hbo,C
hln,R
hooverinstitution,C
i media,R
i news,C
ign,R
ihf,C
india today,L
inside edition,R
istuff,R
itv,C
itv news,C
joe,R
kam,R
kermit,R
kxan,R
kyoot,L
lbc,R
learn liberty,C
lexington herald leader,R
lgr,R
libertarianism.org,C
liberty hangout,R
lpjr,R
lwd,R
mata news,C
mbc1,C
mbcnews,R
mental floss,L
mercatus center,C
metax,R
mind,L
mlb,L
molo,R
mtv,R
mtv news,C
mw,C
n n,R
n1,R
national post,C
nba,R
nbc news,R
neal,L
news24,L
nfb,C
nfl,R
nowthis news,R
obc news,R
ode,R
own,R
pmnc,R
project veritas,R
qrc,C
rbb,C
reasontv,R
richmond times-dispatch,C
roll call,L
rt,C
sal,R
sbs news,R
siouxcity journal,L
sky news,L
square,L
stars and stripes,L
swr,R
take part,R
tawny,R
ted,R
tedxyouth,R
the daily wire,R
the duran,L
the independent,R
the oklahoman,C
the quint,C
the sun,R
the verge,R
thebinger,R
theobjectivestandard,C
theytrebel,R
thoughty2,L
time life,R
tlc,C
tnt,R
tti,R
tv1,C
tvo,C
udy,C
usc,R
v8tv,R
vega,L
vice news,R
vito,R
vpf media,R
vtdigger,L
wbsc,C
wdr,R
wedū,R
wgn news,R
world economic forum,L
wwe,C
xpresstv,R
yif,L
zooted,L
zvon,C
三立inews,R
慶剛,C
李雪,C
落塵,C
the late show with stephen colbert,L
lastweektonight,L
saturday night live,L
real time with bill maher,L
the daily show with trevor noah,L
late night with seth meyers,L
al jazeera english,L
the tonight show starring jimmy fallon,L
the view,L
jimmy kimmel live,L
60 minutes australia,L
breakfast club power 105.1 fm,L
cbs this morning,L
cbs sunday morning,L
cnbc international tv,L
cnbc television,L
the new york times,L
crooked media,L
tedx talks,C
theellenshow,C
bloomberg markets and finance,C
bbc news,C
bbc america,C
cnn business,C
bloomberg politics,C
the hannity,R
fox business,R
fox 10 phoenix,R
yaftv,R
fox business,R
fox news insider,R
american conservative union,R
dinesh d'souza,R
fox news shows,R
jordan b peterson,R
sean hannity,R
glenn beck,R
ben shapiro,R
ben shapiro thug life,R
social justice fails,R
